,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
480,Batticaloa,7.71,81.69,79.27,73,100,5.86
481,Kahului,20.89,-156.47,82.27,49,40,27.51
482,Tual,-5.67,132.75,79.39,78,0,20.65
483,Haines Junction,60.75,-137.51,53.22,58,88,1.57
484,Vila,42.03,-8.16,64.0,75,7,1.01
485,Shorewood,41.52,-88.2,59.16,93,90,9.71
486,San-Pédro,4.75,-6.64,75.13,88,100,7.9
487,California,38.3,-76.51,76.48,94,90,4.68
488,Tutóia,-2.76,-42.27,79.36,75,66,13.44
489,Ontario,34.06,-117.65,80.02,17,90,8.05
490,Dolores,-36.31,-57.68,49.19,67,80,6.2
491,Yar-Sale,66.83,70.83,53.67,79,85,18.01
492,Techiman,7.59,-1.94,69.12,100,100,4.34
493,Goderich,43.75,-81.72,58.05,93,100,1.99
494,Rio Grande,-32.03,-52.1,55.99,94,0,7.72
495,Nizwá,22.93,57.53,83.37,38,0,1.25
496,Buchanan,5.88,-10.05,76.15,88,100,11.41
497,Nabire,-3.37,135.48,83.98,74,43,3.69
498,Zhangye,38.93,100.45,71.65,35,0,2.1
499,Murchison,-41.8,172.33,53.08,45,42,3.58
500,Santa Teresa del Tuy,10.23,-66.66,73.49,87,100,1.25
501,Los Alamos,35.89,-106.31,42.96,87,90,4.7
502,Aklavik,68.22,-135.01,39.2,86,90,6.93
503,São José da Coroa Grande,-8.9,-35.15,73.96,83,1,12.41
504,Bonthe,7.53,-12.51,76.08,91,100,13.67
505,Ingham,42.6,-84.38,56.35,87,90,5.82
506,Cap Malheureux,-19.98,57.61,72.0,76,17,5.99
507,Miandrivazo,-19.52,45.47,74.25,61,19,2.24
508,Zhigansk,66.77,123.37,52.66,63,85,5.46
509,Nuevitas,21.55,-77.26,77.0,88,98,4.7
510,Yueyang,29.33,113.09,75.49,76,24,8.95
511,Viedma,-40.81,-63.0,63.0,24,0,15.01
512,Boysun,38.21,67.2,53.04,42,0,1.25
513,Phuket,8.0,98.25,77.97,88,75,2.24
514,San Rafael,-34.62,-68.33,66.15,25,0,6.55
515,Udachny,66.42,112.4,44.6,81,90,2.24
516,San Lorenzo,-25.33,-57.53,78.8,65,99,3.36
517,Maceió,-9.67,-35.74,71.6,94,20,4.7
518,Bambanglipuro,-7.95,110.28,79.99,71,52,11.39
519,Nshamba,-1.8,31.55,65.61,64,98,1.99
520,Kudahuvadhoo,2.67,72.89,82.08,77,90,14.05
521,Vostok,46.49,135.88,50.97,99,100,2.71
522,Den Helder,52.96,4.76,56.89,67,90,5.82
523,Comodoro Rivadavia,-45.87,-67.5,53.6,40,100,27.51
524,Green River,41.53,-109.47,39.2,65,90,8.05
525,Sinaloa,25.0,-107.5,90.73,59,40,13.87
526,Straumen,63.87,11.3,44.47,93,75,11.41
527,Dromolaxia,34.88,33.59,79.25,51,10,3.36
528,Suamico,44.63,-88.04,51.39,76,1,4.7
529,Chabahar,25.29,60.64,77.0,88,20,6.93
530,Havøysund,71.0,24.66,46.4,93,100,11.41
531,Izberbash,42.57,47.86,59.0,87,0,4.47
532,Igrim,63.19,64.42,49.26,90,0,8.79
533,Nesna,66.2,13.02,47.5,83,100,14.85
534,Bongandanga,1.5,21.05,69.55,98,100,1.03
535,Deming,32.27,-107.76,60.8,72,40,16.11
536,Charters Towers,-20.1,146.27,76.33,35,0,8.93
537,Imbituba,-28.24,-48.67,66.2,82,90,10.29
538,Virtsu,58.57,23.51,53.01,75,100,5.99
539,Bandarbeyla,9.49,50.81,75.96,81,100,12.75
540,Ongandjera,-17.88,15.07,63.54,27,0,7.74
541,Harper,4.38,-7.72,75.58,84,99,11.3
542,Mahon,39.89,4.27,68.0,88,7,5.82
543,Tsimmerbude,54.67,20.13,50.0,93,0,4.47
544,Ternate,0.8,127.4,84.78,66,0,2.37
545,Geraldton,-28.77,114.6,55.4,76,90,9.17
546,Kamaishi,39.27,141.88,73.4,88,75,4.7
547,Alugan,12.22,125.48,85.33,68,14,2.37
548,Moree,-29.47,149.85,64.4,48,0,17.22
549,Batesville,35.77,-91.64,81.12,58,1,4.7
550,Jaqué,7.52,-78.17,79.07,81,100,1.28
551,Nova Odesa,47.31,31.79,63.36,65,0,6.33
552,Iskateley,67.68,53.15,43.52,94,100,9.31
553,Lata,40.16,-8.33,66.83,66,2,2.84
554,Raja,8.46,25.68,67.71,95,100,4.32
555,Matamoros,25.53,-103.25,82.04,51,75,8.05
556,Hirara,24.8,125.28,84.2,79,75,10.29
557,Suseni,46.67,25.55,43.0,84,1,3.78
558,Dwārka,22.24,68.97,81.16,79,86,10.42
559,Longyan,25.11,117.02,79.32,77,55,3.13
560,Port Shepstone,-30.74,30.45,63.93,76,7,7.9
561,Plátanos,37.67,21.62,63.54,88,0,2.24
562,Puerto Madero,14.72,-92.42,78.8,100,75,2.24
563,Middleton,53.55,-2.2,52.05,75,100,7.05
564,Anchorage,61.22,-149.9,56.03,52,1,10.29
565,Payo,-3.75,103.64,81.25,70,100,1.34
566,Port Hardy,50.7,-127.42,71.6,56,5,8.05
567,Hualmay,-11.1,-77.61,59.95,84,13,7.2
568,Henderson,36.04,-114.98,82.45,11,1,6.93
569,Tezu,27.92,96.17,76.66,86,100,1.59
570,Ankazoabo,-22.28,44.52,67.21,74,82,4.97
571,Soyo,-6.13,12.37,72.99,86,97,6.35
572,Ventspils,57.39,21.56,55.4,62,81,5.82
